DV_cdtA,DV_cdtB,age
40.32189004020737,42.31899038739621,3.3
62.40806393293433,59.635741173515854,7.2
58.13497534082583,60.38028014476263,7.0
46.73481628362674,41.19430321799392,3.3
57.2398316568111,58.11010633276665,6.8
50.627853612149494,47.76966429506544,4.5
49.69410431271333,53.4896301696826,5.0
38.84433525273597,38.4657625535325,3.0
61.90891266845139,58.081506882392084,6.6
46.58491451947849,45.16557633985118,4.0
59.682773312628335,57.37287513578781,6.4
51.13859366703204,46.045797637532445,5.1
62.18994927341901,58.628614270824464,6.7
48.73699185604404,47.42909352706444,4.5
53.328121234611814,55.2008891782191,5.9
64.13645636481435,64.93465968260358,7.8
40.01329931853363,39.08401933252559,3.2
